1;1;0.6438;[0.8658803288362131, 19052.03859729876];[0.0526 -0.0288 0.0276 0.0258; -0.0288 0.2309 -0.0438 -0.049; 0.0276 -0.0438 0.0623 0.0425; 0.0258 -0.049 0.0425 0.069]
2;1;0.6216;[0.6539260573471379, 21291.992413488355];[0.0638 -0.02 0.0439 0.035; -0.02 0.2059 -0.0234 -0.0167; 0.0439 -0.0234 0.1226 0.0735; 0.035 -0.0167 0.0735 0.0849]
3;1;0.595;[0.5559868581582208, 21294.51527968779];[0.0422 -0.0129 0.0248 0.0171; -0.0129 0.1403 -0.0233 -0.0193; 0.0248 -0.0233 0.0849 0.0203; 0.0171 -0.0193 0.0203 0.0311]
4;1;0.7309;[0.5527009115901496, 10699.380988672076];[0.0241 -0.0144 0.0179 0.0135; -0.0144 0.2581 -0.0522 -0.033; 0.0179 -0.0522 0.0987 0.0368; 0.0135 -0.033 0.0368 0.03]
5;1;0.7678;[0.5587540690322805, 6718.615090133576];[0.0195 0.0433 -0.0039 -0.0039; 0.0433 0.4262 -0.0228 -0.044; -0.0039 -0.0228 0.0372 0.0062; -0.0039 -0.044 0.0062 0.0296]
6;1;1.0993;[0.9245113319212914, -2416.3664933226073];[0.0189 0.0107 0.001 -0.0006; 0.0107 0.2706 -0.0071 -0.0035; 0.001 -0.0071 0.0111 0.0053; -0.0006 -0.0035 0.0053 0.0165]
7;1;0.7038;[0.5904760163478106, 6047.1621004918425];[0.0128 0.0256 0.0004 -0.001; 0.0256 0.2079 -0.0061 -0.0012; 0.0004 -0.0061 0.0047 0.0018; -0.001 -0.0012 0.0018 0.0094]
8;1;0.7537;[0.6352334471451415, 4238.0474019685225];[0.0146 0.0299 0.0011 0.0009; 0.0299 0.3548 -0.0038 0.0042; 0.0011 -0.0038 0.0036 0.0008; 0.0009 0.0042 0.0008 0.0052]
9;1;1.241;[1.2169348765688255, -4066.436520041441];[0.0306 0.0179 0.0046 0.0006; 0.0179 0.2624 -0.0069 0.0062; 0.0046 -0.0069 0.008 0.0032; 0.0006 0.0062 0.0032 0.0144]
10;1;0.6798;[0.814411800172739, 6472.63592587857];[0.0496 0.023 0.015 0.0058; 0.023 0.2459 -0.0085 -0.0076; 0.015 -0.0085 0.0274 0.014; 0.0058 -0.0076 0.014 0.0305]
11;1;0.5761;[0.7499186730646896, 11154.229114127584];[0.031 0.0256 0.0146 0.0066; 0.0256 0.2132 -0.0537 -0.0407; 0.0146 -0.0537 0.0821 0.0433; 0.0066 -0.0407 0.0433 0.0587]
12;1;0.6944;[1.049480091110446, 12153.293506259239];[0.0385 -0.0034 0.0203 0.0175; -0.0034 0.2166 -0.0573 -0.062; 0.0203 -0.0573 0.0901 0.0633; 0.0175 -0.062 0.0633 0.0861]
