1;1;0.7156;[1.2707613039465837, 2305.4053575397256];[0.0526 -0.0288 0.0276 0.0258; -0.0288 0.2309 -0.0438 -0.049; 0.0276 -0.0438 0.0623 0.0425; 0.0258 -0.049 0.0425 0.069]
2;1;0.5378;[0.7326999385025367, 5104.497604835354];[0.0638 -0.02 0.0439 0.035; -0.02 0.2059 -0.0234 -0.0167; 0.0439 -0.0234 0.1226 0.0735; 0.035 -0.0167 0.0735 0.0849]
3;1;0.6358;[0.7632428472204262, 4828.422044722796];[0.0422 -0.0129 0.0248 0.0171; -0.0129 0.1403 -0.0233 -0.0193; 0.0248 -0.0233 0.0849 0.0203; 0.0171 -0.0193 0.0203 0.0311]
4;1;0.6793;[0.6845802237366218, 4284.764695613447];[0.0241 -0.0144 0.0179 0.0135; -0.0144 0.2581 -0.0522 -0.033; 0.0179 -0.0522 0.0987 0.0368; 0.0135 -0.033 0.0368 0.03]
5;1;0.9221;[0.597136734638059, 674.0020874807253];[0.0195 0.0433 -0.0039 -0.0039; 0.0433 0.4262 -0.0228 -0.044; -0.0039 -0.0228 0.0372 0.0062; -0.0039 -0.044 0.0062 0.0296]
6;1;0.8624;[0.40911403440779254, 564.7780998885912];[0.0189 0.0107 0.001 -0.0006; 0.0107 0.2706 -0.0071 -0.0035; 0.001 -0.0071 0.0111 0.0053; -0.0006 -0.0035 0.0053 0.0165]
7;1;0.7266;[0.42467009700778013, 655.8646324013716];[0.0128 0.0256 0.0004 -0.001; 0.0256 0.2079 -0.0061 -0.0012; 0.0004 -0.0061 0.0047 0.0018; -0.001 -0.0012 0.0018 0.0094]
8;1;0.994;[0.6998217525230431, 10.133699117860266];[0.0146 0.0299 0.0011 0.0009; 0.0299 0.3548 -0.0038 0.0042; 0.0011 -0.0038 0.0036 0.0008; 0.0009 0.0042 0.0008 0.0052]
9;1;0.8812;[0.6959385896178855, 158.46363933224512];[0.0306 0.0179 0.0046 0.0006; 0.0179 0.2624 -0.0069 0.0062; 0.0046 -0.0069 0.008 0.0032; 0.0006 0.0062 0.0032 0.0144]
10;1;0.9839;[1.0836395963349135, 23.65227754363829];[0.0496 0.023 0.015 0.0058; 0.023 0.2459 -0.0085 -0.0076; 0.015 -0.0085 0.0274 0.014; 0.0058 -0.0076 0.014 0.0305]
11;1;0.8622;[1.3881644680751655, 325.9336599363054];[0.031 0.0256 0.0146 0.0066; 0.0256 0.2132 -0.0537 -0.0407; 0.0146 -0.0537 0.0821 0.0433; 0.0066 -0.0407 0.0433 0.0587]
12;1;0.8078;[1.5590064404289823, 877.3592104494811];[0.0385 -0.0034 0.0203 0.0175; -0.0034 0.2166 -0.0573 -0.062; 0.0203 -0.0573 0.0901 0.0633; 0.0175 -0.062 0.0633 0.0861]
